,name,losses,wins
222,Radu Albot,"['Mikhail Kukushkin', 'David Ferrer', 'Andrey Kuznetsov', 'Joao Sousa']",['Viktor Troicki']
223,Rafael Nadal,"['Feliciano Lopez', 'Jo Wilfried Tsonga', 'Stanislas Wawrinka', 'Fabio Fognini', 'Dustin Brown', 'Kei Nishikori', 'Milos Raonic', 'Fernando Verdasco', 'Fabio Fognini', 'Alexandr Dolgopolov', 'Fabio Fognini', 'Tomas Berdych', 'Andy Murray', 'Stanislas Wawrinka', 'Novak Djokovic', 'Michael Berrer', 'Novak Djokovic', 'Roger Federer', 'Novak Djokovic', 'Novak Djokovic']","['Jeremy Chardy', 'Ivo Karlovic', 'Milos Raonic', 'Stanislas Wawrinka', 'Lukas Rosol', 'Kevin Anderson', 'Nicolas Almagro', 'Thomaz Bellucci', 'Sergiy Stakhovsky', 'Mikhail Youzhny', 'Igor Sijsling', 'Donald Young', 'Gilles Simon', 'Nicolas Almagro', 'Borna Coric', 'Diego Sebastian Schwartzman', 'Thomaz Bellucci', 'Pablo Carreno Busta', 'Pablo Cuevas', 'Mikhail Youzhny', 'Tim Smyczek', 'Dudi Sela', 'Kevin Anderson', 'Facundo Arguello', 'Federico Delbonis', 'Carlos Berlocq', 'Juan Monaco', 'Fernando Verdasco', 'Jiri Vesely', 'Pablo Cuevas', 'Andreas Seppi', 'Fabio Fognini', 'Steve Johnson', 'Simone Bolelli', 'Grigor Dimitrov', 'Tomas Berdych', 'Marsel Ilhan', 'John Isner', 'Lucas Pouille', 'John Isner', 'David Ferrer', 'Marcos Baghdatis', 'Bernard Tomic', 'Gael Monfils', 'Viktor Troicki', 'Di Wu', 'Vasek Pospisil', 'Jack Sock', 'Fabio Fognini', 'Lukas Rosol', 'Grigor Dimitrov', 'Marin Cilic', 'Richard Gasquet', 'Quentin Halys', 'Nicolas Almagro', 'Andrey Kuznetsov', 'Jack Sock', 'Stanislas Wawrinka', 'Andy Murray', 'David Ferrer']"
224,Rajeev Ram,"['Jeremy Chardy', 'Mischa Zverev', 'Adrian Mannarino', 'Viktor Troicki', 'Paolo Lorenzi', 'Dustin Brown']","['Alejandro Falla', 'Ryan Harrison', 'John Isner', 'Yuichi Sugita', 'Adrian Mannarino', 'John Patrick Smith', 'Ivo Karlovic']"
225,Ramkumar Ramanathan,"['Mikhail Kukushkin', 'Tatsuma Ito']",['Bye']
226,Renzo Olivo,"['Victor Estrella', 'Tommy Robredo']","['Evgeny Donskoy', 'Jarkko Nieminen']"
227,Rhyne Williams,['John Millman'],['Bye']
228,Ricardas Berankis,"['Albert Montanes', 'Marin Cilic', 'David Goffin', 'Alexandr Dolgopolov', 'Tatsuma Ito', 'Tommy Robredo', 'David Goffin', 'Hiroki Moriya', 'Kevin Anderson', 'Andreas Seppi', 'John Isner', 'John Isner', 'Evgeny Donskoy', 'Federico Delbonis', 'Santiago Giraldo', 'Robin Haase', 'Lucas Pouille', 'Sergiy Stakhovsky']","['Andreas Haider Maurer', 'Luca Vanni', 'Joao Sousa', 'Igor Sijsling', 'Lukas Lacko', 'Gilles Muller', 'Yen Hsun Lu', 'Pablo Cuevas', 'Teymuraz Gabashvili', 'Tim Smyczek', 'Steve Johnson', 'Malek Jaziri']"
229,Richard Gasquet,"['Roberto Bautista Agut', 'Jack Sock', 'Andy Murray', 'Bernard Tomic', 'Andy Murray', 'Novak Djokovic', 'Michael Berrer', 'Roger Federer', 'Roger Federer', 'Milos Raonic', 'Kevin Anderson', 'Jack Sock', 'Tomas Berdych', 'David Ferrer', 'Tomas Berdych', 'Rafael Nadal', 'Novak Djokovic']","['Steve Darcis', 'Jeremy Chardy', 'Nick Kyrgios', 'Thanasi Kokkinakis', 'Marin Cilic', 'Gilles Muller', 'Vasek Pospisil', 'Leonardo Mayer', 'Kei Nishikori', 'Luke Saville', 'Kenny De Schepper', 'Grigor Dimitrov', 'Nick Kyrgios', 'Stanislas Wawrinka', 'Andreas Seppi', 'Roberto Bautista Agut', 'Thanasi Kokkinakis', 'Robin Haase', 'Bernard Tomic', 'Tomas Berdych', 'Simone Bolelli', 'Carlos Berlocq', 'James Duckworth', 'Gilles Muller', 'Ivo Karlovic', 'Thomas Fabbiano', 'Lucas Pouille', 'Denis Istomin', 'Gael Monfils', 'Jerzy Janowicz', 'Pablo Andujar', 'Simone Bolelli', 'Marinko Matosevic', 'Kenny De Schepper', 'Nicolas Almagro', 'Guillermo Garcia Lopez', 'Nick Kyrgios', 'Jiri Vesely', 'Dominic Thiem', 'Ivo Karlovic', 'Germain Gigounon', 'Carlos Berlocq', 'Kevin Anderson']"
230,Roberto Bautista Agut,"['Nick Kyrgios', 'Joao Sousa', 'Roger Federer', 'Milos Raonic', 'Jo Wilfried Tsonga', 'Kei Nishikori', 'Roger Federer', 'Jo Wilfried Tsonga', 'Gael Monfils', 'Aljaz Bedene', 'Jack Sock', 'Jerzy Janowicz', 'Nicolas Mahut', 'Richard Gasquet', 'Novak Djokovic', 'Fernando Verdasco', 'Gilles Muller', 'Joao Sousa', 'Andy Murray', 'Aljaz Bedene', 'Kei Nishikori', 'Thomaz Bellucci', 'Tomas Berdych', 'Marin Cilic', 'Jack Sock', 'Adrian Mannarino', 'Gael Monfils', 'Milos Raonic', 'Lukas Rosol']","['Richard Gasquet', 'Blaz Kavcic', 'Borna Coric', 'Pablo Cuevas', 'Guillermo Garcia Lopez', 'Pierre Hugues Herbert', 'Thomaz Bellucci', 'Pablo Cuevas', 'Ruben Bemelmans', 'Benoit Paire', 'Nikoloz Basilashvili', 'Janko Tipsarevic', 'Alexander Zverev', 'Peter Gojowczyk', 'Yen Hsun Lu', 'Denis Istomin', 'Dominic Thiem', 'Pierre Hugues Herbert', 'Pablo Carreno Busta', 'David Goffin', 'Dominic Thiem', 'Nicolas Almagro', 'Andrey Rublev', 'Mischa Zverev', 'Steve Johnson', 'Radek Stepanek', 'Victor Estrella', 'Borna Coric', 'Marius Copil', 'Sam Querrey', 'Marcel Granollers', 'Benjamin Becker', 'Philipp Kohlschreiber', 'Marsel Ilhan', 'Lucas Pouille', 'Philipp Kohlschreiber', 'Vasek Pospisil', 'Dominic Thiem', 'Teymuraz Gabashvili', 'Lucas Pouille', 'Florian Mayer']"
231,Roberto Carballes Baena,"['Pablo Cuevas', 'Guillermo Garcia Lopez']",['Jan Lennard Struff']
