,name,losses,wins
0,Adrian Mannarino,"['Steve Darcis', 'Andreas Seppi', 'John Isner', 'Dominic Thiem', 'Gael Monfils', 'Jack Sock', 'Andy Murray', 'Dominic Thiem', 'Donald Young', 'Bernard Tomic', 'Nicolas Mahut', 'Andy Murray', 'Guillermo Garcia Lopez', 'Marin Cilic', 'Rajeev Ram', 'Simone Bolelli', 'Feliciano Lopez', 'Bernard Tomic', 'Igor Sijsling', 'Go Soeda', 'John Isner', 'Marsel Ilhan', 'Marcel Granollers', 'Nicolas Mahut', 'Jiri Vesely', 'Pablo Andujar', 'Yen Hsun Lu', 'Ivo Karlovic', 'David Goffin', 'Jurgen Melzer']","['Michael Berrer', 'Mischa Zverev', 'Fabio Fognini', 'Ernests Gulbis', 'Albert Ramos', 'Stanislas Wawrinka', 'Rajeev Ram', 'Malek Jaziri', 'Ivo Karlovic', 'Yen Hsun Lu', 'Marco Chiudinelli', 'Konstantin Kravchuk', 'Lucas Pouille', 'Yan Bai', 'Tommy Haas', 'Edouard Roger Vasselin', 'Aljaz Bedene', 'Blaz Rola', 'Vincent Millot', 'Federico Delbonis', 'Roberto Bautista Agut', 'Alejandro Falla', 'Lucas Pouille', 'Carlos Berlocq', 'Eric Quigley', 'Denis Kudla', 'Yen Hsun Lu', 'Viktor Troicki']"
1,Adrian Menendez Maceiras,"['Paolo Lorenzi', 'Tim Smyczek', 'Bernard Tomic', 'Alejandro Falla']",['Alejandro Gonzalez']
2,Adrien Bossel,['Dustin Brown'],['Bye']
3,Albert Montanes,"['David Ferrer', 'Thomaz Bellucci', 'Pablo Cuevas', 'Dominic Thiem', 'Facundo Arguello', 'Daniel Brands', 'Florian Mayer', 'Gilles Muller']","['Ricardas Berankis', 'Facundo Arguello', 'Santiago Giraldo', 'Maximo Gonzalez', 'Gerald Melzer', 'Diego Sebastian Schwartzman', 'Martin Fischer']"
4,Albert Ramos,"['Nick Kyrgios', 'Jo Wilfried Tsonga', 'Pablo Andujar', 'Jo Wilfried Tsonga', 'Novak Djokovic', 'Adrian Mannarino', 'Stanislas Wawrinka', 'David Ferrer', 'Andreas Haider Maurer', 'Hyeon Chung', 'Diego Sebastian Schwartzman', 'Andrey Kuznetsov', 'Tommy Robredo', 'Nicolas Almagro', 'Fabio Fognini', 'David Ferrer', 'Novak Djokovic', 'Leonardo Mayer', 'Mikhail Kukushkin', 'Lucas Pouille', 'Thomaz Bellucci', 'Nick Kyrgios', 'Pablo Andujar']","['Sam Querrey', 'Roger Federer', 'Denis Istomin', 'Viktor Troicki', 'Julien Benneteau', 'Joao Sousa', 'Luca Vanni', 'Horacio Zeballos', 'Nicolas Almagro', 'Pablo Cuevas', 'Robin Haase', 'Guilherme Clezar', 'Paolo Lorenzi', 'Yen Hsun Lu', 'Marinko Matosevic', 'Benjamin Becker']"
5,Alejandro Falla,"['Robin Haase', 'Paolo Lorenzi', 'Peter Gojowczyk', 'Gilles Simon', 'Rajeev Ram', 'Jerzy Janowicz', 'Jan Hernych', 'Tomas Berdych', 'Philipp Kohlschreiber', 'Adrian Mannarino', 'Roger Federer']","['Joao Souza', 'Michael Berrer', 'Ivo Karlovic', 'Lukas Lacko', 'Adrian Menendez Maceiras', 'Jose Rubin Statham', 'Kenny De Schepper']"
6,Alejandro Gomez GB42,['Tatsuma Ito'],['Marcos Baghdatis']
7,Alejandro Gonzalez,"['Juan Monaco', 'Feliciano Lopez', 'Pablo Carreno Busta', 'Adrian Menendez Maceiras', 'Filip Krajinovic', 'Guillermo Garcia Lopez', 'Kei Nishikori', 'Steve Johnson', 'Michael Venus', 'Filip Krajinovic', 'Donald Young']","['Facundo Bagnis', 'Fabio Fognini', 'Sam Querrey']"
8,Aleksandr Nedovyesov,"['Mikhail Kukushkin', 'Viktor Troicki', 'Nikoloz Basilashvili', 'Lleyton Hewitt', 'Vasek Pospisil']",['Bye']
9,Alex Bolt,['Robin Haase'],['Bye']
10,Alexander Kudryavtsev,"['Marinko Matosevic', 'Lucas Pouille']",['Bye']
11,Alexander Sarkissian,['Malek Jaziri'],['John Millman']
12,Alexander Zverev,"['Tomas Berdych', 'Borna Coric', 'Denis Kudla', 'Jeremy Chardy', 'Roberto Bautista Agut', 'Lukas Rosol', 'Ivo Karlovic', 'Marsel Ilhan', 'Philipp Kohlschreiber', 'Marcos Baghdatis', 'Tommy Robredo', 'Philipp Kohlschreiber', 'Marin Cilic', 'Tommy Robredo', 'Fernando Verdasco', 'Gael Monfils', 'Viktor Troicki']","['Mikael Ymer', 'Teymuraz Gabashvili', 'Samuel Groth', 'Jarkko Nieminen', 'Mikhail Kukushkin', 'Thomaz Bellucci', 'Julian Reister', 'Juan Monaco', 'Thomaz Bellucci', 'Benjamin Becker', 'Yoshihito Nishioka', 'Kevin Anderson', 'Alexandr Dolgopolov', 'Mate Pavic']"
13,Alexandr Dolgopolov,"['Sam Querrey', 'Novak Djokovic', 'Borna Coric', 'David Ferrer', 'Ivo Karlovic', 'Grigor Dimitrov', 'Ernests Gulbis', 'Milos Raonic', 'Novak Djokovic', 'Bernard Tomic', 'Martin Klizan', 'Samuel Groth', 'Steve Johnson', 'Guillermo Garcia Lopez', 'Sam Querrey', 'Paolo Lorenzi', 'Kei Nishikori', 'Thanasi Kokkinakis', 'Alexander Zverev', 'Go Soeda', 'Guillermo Garcia Lopez', 'Gael Monfils', 'Philipp Kohlschreiber', 'Donald Young', 'Dusan Lajovic', 'Nicolas Almagro']","['Bernard Tomic', 'Jerzy Janowicz', 'Tomas Berdych', 'Jiri Vesely', 'Kyle Edmund', 'Sergiy Stakhovsky', 'Frank Dancevic', 'Santiago Giraldo', 'Ricardas Berankis', 'Tommy Robredo', 'Thomaz Bellucci', 'Carlos Berlocq', 'Rafael Nadal', 'Donald Young', 'Pablo Andujar', 'Dominic Thiem', 'Yen Hsun Lu', 'Samuel Groth', 'Andreas Haider Maurer', 'Tim Smyczek', 'Ivo Karlovic', 'Martin Klizan', 'Borna Coric', 'Teymuraz Gabashvili', 'Tim Smyczek']"
14,Alexandre Sidorenko,['Evgeny Donskoy'],['Bye']
15,Aljaz Bedene,"['Borna Coric', 'John Isner', 'Viktor Troicki', 'Stanislas Wawrinka', 'Donald Young', 'Hyeon Chung', 'Adrian Mannarino', 'Dennis Novak', 'Novak Djokovic', 'Vasek Pospisil', 'Pierre Hugues Herbert', 'Fabio Fognini', 'Jiri Vesely', 'Denis Istomin', 'Gilles Muller', 'Lukas Rosol', 'Dominic Thiem']","['Mate Delic', 'Marcel Granollers', 'Radek Stepanek', 'Lukas Lacko', 'Feliciano Lopez', 'Guillermo Garcia Lopez', 'Roberto Bautista Agut', 'Ernests Gulbis', 'Mikhail Youzhny', 'Diego Sebastian Schwartzman', 'Jeremy Chardy', 'Marco Cecchinato', 'Gilles Simon', 'Daniel Gimeno Traver', 'Roberto Bautista Agut', 'Maximo Gonzalez', 'Arthur De Greef']"
16,Andre Ghem,['Victor Estrella'],['Bye']
17,Andrea Arnaboldi,"['Jerzy Janowicz', 'David Goffin', 'Marin Cilic']",['James Duckworth']
18,Andreas Beck,['Edouard Roger Vasselin'],['Bye']
19,Andreas Haider Maurer,"['Dominic Thiem', 'Nick Kyrgios', 'Ivan Dodig', 'Ricardas Berankis', 'Gerald Melzer', 'David Goffin', 'Borna Coric', 'Borna Coric', 'Dustin Brown', 'Novak Djokovic', 'Simone Bolelli', 'Simone Bolelli', 'Kevin Anderson', 'David Ferrer', 'Santiago Giraldo', 'Dominic Thiem', 'John Isner', 'Alexandr Dolgopolov', 'Jiri Vesely', 'Novak Djokovic', 'Damir Dzumhur', 'Andrey Kuznetsov', 'Gael Monfils', 'Dominic Thiem', 'Jack Sock', 'Diego Sebastian Schwartzman']","['Thomas Fabbiano', 'Martin Klizan', 'Marcel Granollers', 'Jiri Vesely', 'Vasek Pospisil', 'Ivan Dodig', 'Albert Ramos', 'Tommy Robredo', 'Joao Souza', 'Joao Souza', 'Laurent Lokoli', 'Robin Haase', 'Ernests Gulbis', 'Bernard Tomic', 'Jan Lennard Struff', 'Pablo Andujar', 'Maximilian Marterer', 'Daniel Gimeno Traver', 'Jo Wilfried Tsonga']"
20,Andreas Seppi,"['Joao Sousa', 'Feliciano Lopez', 'Steve Johnson', 'Roger Federer', 'Andy Murray', 'Gilles Simon', 'Tomas Berdych', 'Roger Federer', 'Vasek Pospisil', 'Roger Federer', 'Richard Gasquet', 'Novak Djokovic', 'Ivo Karlovic', 'Yen Hsun Lu', 'Dusan Lajovic', 'Nick Kyrgios', 'Guillermo Garcia Lopez', 'Rafael Nadal', 'Tommy Robredo', 'Tomas Berdych', 'Mischa Zverev', 'David Goffin', 'David Goffin', 'John Isner']","['Adrian Mannarino', 'Pablo Cuevas', 'Brydan Klein', 'Borna Coric', 'Robin Haase', 'Victor Hanescu', 'Tommy Haas', 'Tommy Robredo', 'Gael Monfils', 'Kei Nishikori', 'Tommy Paul', 'Teymuraz Gabashvili', 'Denis Istomin', 'Jeremy Chardy', 'Roger Federer', 'Robin Haase', 'James Ward', 'Ricardas Berankis', 'Marcel Granollers', 'Martin Klizan', 'Florian Mayer', 'Simone Bolelli', 'Leonardo Mayer', 'Joao Souza', 'Ivan Dodig', 'Benjamin Becker']"
21,Andres Molteni,['Guido Andreozzi'],['Bye']
22,Andrey Golubev,"['Grigor Dimitrov', 'Tommy Robredo', 'Mikhail Youzhny', 'Jeremy Chardy', 'Novak Djokovic', 'Simone Bolelli', 'Jarkko Nieminen', 'Andrey Kuznetsov', 'Benjamin Becker', 'Tommy Robredo']","['Nikoloz Basilashvili', 'Dustin Brown', 'Fabrice Martin']"
23,Andrey Kuznetsov,"['Feliciano Lopez', 'Philipp Kohlschreiber', 'Teymuraz Gabashvili', 'Milos Raonic', 'Marsel Ilhan', 'Novak Djokovic', 'Gael Monfils', 'Dustin Brown', 'Marin Cilic', 'Gael Monfils', 'Federico Delbonis', 'Rafael Nadal']","['Marton Fucsovics', 'Albert Ramos', 'Radu Albot', 'Mikhail Kukushkin', 'Andrey Golubev', 'Andreas Haider Maurer', 'Malek Jaziri', 'Jurgen Melzer']"
24,Andrey Rublev,"['Blaz Kavcic', 'Fabio Fognini', 'Santiago Giraldo', 'John Isner', 'Kevin Anderson', 'Horacio Zeballos', 'Roberto Bautista Agut', 'Mikhail Kukushkin', 'Marin Cilic', 'Simone Bolelli', 'Steve Johnson']","['Fernando Verdasco', 'Damir Dzumhur', 'Pablo Carreno Busta', 'Marcel Granollers', 'Jarkko Nieminen', 'Dudi Sela']"
25,Andy Murray,"['Roger Federer', 'Novak Djokovic', 'Novak Djokovic', 'Roger Federer', 'Gilles Simon', 'Novak Djokovic', 'Novak Djokovic', 'Borna Coric', 'Kevin Anderson', 'Novak Djokovic', 'Teymuraz Gabashvili', 'Novak Djokovic', 'Rafael Nadal', 'Stanislas Wawrinka']","['Mardy Fish', 'Grigor Dimitrov', 'Richard Gasquet', 'Steve Johnson', 'John Isner', 'Tomas Berdych', 'Borna Coric', 'David Goffin', 'Richard Gasquet', 'David Ferrer', 'Mikhail Kukushkin', 'Robin Haase', 'Andreas Seppi', 'Ivo Karlovic', 'Vasek Pospisil', 'Tommy Robredo', 'Gilles Muller', 'Jo Wilfried Tsonga', 'Kei Nishikori', 'Novak Djokovic', 'Nicolas Mahut', 'Vasek Pospisil', 'Vasek Pospisil', 'Philipp Kohlschreiber', 'Adrian Mannarino', 'Feliciano Lopez', 'Donald Young', 'Santiago Giraldo', 'Kevin Anderson', 'Dominic Thiem', 'Tomas Berdych', 'Gilles Muller', 'Joao Sousa', 'Nick Kyrgios', 'Adrian Mannarino', 'Thomaz Bellucci', 'Yen Hsun Lu', 'Fernando Verdasco', 'Gilles Muller', 'Viktor Troicki', 'Kevin Anderson', 'Yuki Bhambri', 'Marinko Matosevic', 'Joao Sousa', 'Grigor Dimitrov', 'Nick Kyrgios', 'Tomas Berdych', 'Mischa Zverev', 'Lukas Rosol', 'Roberto Bautista Agut', 'Philipp Kohlschreiber', 'Philipp Kohlschreiber', 'Marcel Granollers', 'Milos Raonic', 'Kei Nishikori', 'Rafael Nadal', 'Jeremy Chardy', 'Facundo Arguello', 'Joao Sousa', 'Nick Kyrgios', 'Jeremy Chardy', 'David Ferrer', 'David Ferrer']"
26,Ante Pavic,"['Federico Delbonis', 'Malek Jaziri']",['Bye']
27,Antonio Veic,['James Ward'],['Bye']
28,Arthur De Greef,['Aljaz Bedene'],['Diego Sebastian Schwartzman']
29,Aslan Karatsev,['Philipp Kohlschreiber'],['Mikhail Youzhny']
30,Austin Krajicek,"['Stanislas Wawrinka', 'Horacio Zeballos', 'Denis Istomin', 'Bernard Tomic', 'Kei Nishikori', 'Malek Jaziri', 'Kevin Anderson', 'Tomas Berdych', 'Jared Donaldson', 'Santiago Giraldo', 'Marcos Baghdatis']","['Matthew Ebden', 'Joao Sousa', 'Denis Istomin', 'Mikhail Kukushkin', 'Ivo Karlovic', 'Santiago Giraldo', 'James Duckworth']"
31,Bastian Trinker,"['Gael Monfils', 'Fabio Fognini']",['Mikhail Youzhny']
32,Benjamin Balleret,['Gilles Simon'],['Bye']
33,Benjamin Becker,"['John Millman', 'Victor Estrella', 'John Isner', 'David Ferrer', 'Tim Smyczek', 'Jan Lennard Struff', 'Sam Querrey', 'Leonardo Mayer', 'Denis Istomin', 'Milos Raonic', 'Bernard Tomic', 'Alexander Zverev', 'Teymuraz Gabashvili', 'Dudi Sela', 'Feliciano Lopez', 'Roberto Bautista Agut', 'Simone Bolelli', 'Albert Ramos', 'Andreas Seppi', 'Denis Istomin']","['Samuel Groth', 'Jeremy Chardy', 'Grigor Dimitrov', 'Julien Benneteau', 'Lleyton Hewitt', 'Tobias Kamke', 'Michael Berrer', 'Andrey Golubev', 'Ruben Bemelmans', 'Fernando Verdasco']"
34,Benoit Paire,"['Stanislas Wawrinka', 'Novak Djokovic', 'Gilles Simon', 'Philipp Kohlschreiber', 'Denis Istomin', 'Roberto Bautista Agut', 'Juan Monaco', 'Marco Chiudinelli', 'Jo Wilfried Tsonga', 'Joao Sousa', 'Hyeon Chung', 'Lucas Pouille', 'Jerzy Janowicz', 'Gilles Simon', 'Stanislas Wawrinka', 'Jerzy Janowicz', 'Tomas Berdych']","['Grigor Dimitrov', 'Marcos Baghdatis', 'Nick Kyrgios', 'Kei Nishikori', 'Gilles Muller', 'Gael Monfils', 'Jaume Munar', 'Ernests Gulbis', 'Mikhail Youzhny', 'Kei Nishikori', 'Marsel Ilhan', 'Tommy Robredo', 'Markus Eriksson', 'David Goffin', 'Denis Istomin', 'Pablo Cuevas', 'Tommy Robredo', 'Norbert Gombos', 'Philipp Kohlschreiber', 'Tommy Robredo', 'Nikoloz Basilashvili', 'Denis Kudla', 'Paul Henri Mathieu', 'Gastao Elias', 'Fabio Fognini']"
35,Bernard Tomic,"['Steve Johnson', 'Marcos Baghdatis', 'Alexandr Dolgopolov', 'Novak Djokovic', 'Stanislas Wawrinka', 'Novak Djokovic', 'Jo Wilfried Tsonga', 'Gianni Mina', 'Tomas Berdych', 'Donald Young', 'Kei Nishikori', 'Gilles Muller', 'Steve Johnson', 'Richard Gasquet', 'John Patrick Smith', 'Tomas Berdych', 'David Ferrer', 'Pablo Cuevas', 'Janko Tipsarevic', 'Steve Johnson', 'Luca Vanni', 'Viktor Troicki', 'Andreas Haider Maurer', 'Rafael Nadal', 'Donald Young', 'Thanasi Kokkinakis']","['Sergiy Stakhovsky', 'Fernando Verdasco', 'David Ferrer', 'Richard Gasquet', 'Fabio Fognini', 'Jan Lennard Struff', 'Pierre Hugues Herbert', 'Joao Sousa', 'Marin Cilic', 'Borna Coric', 'David Ferrer', 'Thanasi Kokkinakis', 'Austin Krajicek', 'Igor Sijsling', 'Alexandr Dolgopolov', 'Sam Querrey', 'Thanasi Kokkinakis', 'Igor Sijsling', 'Philipp Kohlschreiber', 'Adrian Menendez Maceiras', 'Tatsuma Ito', 'Michael Berrer', 'Adrian Mannarino', 'Damir Dzumhur', 'Lleyton Hewitt', 'Tobias Kamke', 'Philipp Kohlschreiber', 'Samuel Groth', 'Adrian Mannarino', 'Benjamin Becker', 'Lukas Rosol', 'Jan Lennard Struff', 'Tommy Haas', 'Malek Jaziri', 'Viktor Troicki', 'Yoshihito Nishioka', 'Luca Vanni']"
36,Bjorn Fratangelo,"['Jack Sock', 'Tomas Berdych']",['Bye']
37,Blaz Kavcic,"['Roberto Bautista Agut', 'Diego Sebastian Schwartzman', 'Gilles Simon', 'Robin Haase', 'Edouard Roger Vasselin', 'Julian Reister', 'James Duckworth', 'Mikhail Youzhny', 'Tomas Berdych', 'Yen Hsun Lu']","['Andrey Rublev', 'Yuichi Sugita', 'Juan Monaco']"
38,Blaz Rola,"['Matthew Ebden', 'Joao Souza', 'Adrian Mannarino', 'Carlos Berlocq', 'Leonardo Mayer', 'Nicolas Almagro']","['Leonardo Mayer', 'Jiri Vesely', 'Facundo Bagnis', 'Denis Kudla']"
39,Borna Coric,"['Kei Nishikori', 'Roberto Bautista Agut', 'Stanislas Wawrinka', 'Marin Cilic', 'Andy Murray', 'Andreas Seppi', 'Jo Wilfried Tsonga', 'Leonardo Mayer', 'Stanislas Wawrinka', 'Bernard Tomic', 'David Goffin', 'Tomas Berdych', 'Roger Federer', 'Rafael Nadal', 'Ivo Karlovic', 'Jeremy Chardy', 'Kevin Anderson', 'Sergiy Stakhovsky', 'Roberto Bautista Agut', 'Alexandr Dolgopolov', 'Evgeny Donskoy', 'Pablo Carreno Busta', 'Gilles Simon', 'Viktor Troicki', 'Guillermo Garcia Lopez', 'Kevin Anderson', 'Jack Sock']","['Marcel Granollers', 'Aljaz Bedene', 'Alexander Zverev', 'Alexandr Dolgopolov', 'Fernando Verdasco', 'Sergiy Stakhovsky', 'Samuel Groth', 'Gianni Mina', 'James Duckworth', 'Robin Haase', 'Andreas Haider Maurer', 'Andreas Haider Maurer', 'Donald Young', 'Malek Jaziri', 'Marcos Baghdatis', 'Andy Murray', 'Sergiy Stakhovsky', 'Santiago Giraldo', 'Diego Sebastian Schwartzman', 'Denis Istomin', 'Jeremy Chardy', 'Rui Machado', 'Sam Querrey', 'Tommy Robredo']"
40,Brydan Klein,['Andreas Seppi'],['Bye']
41,Calvin Hemery,['Dusan Lajovic'],['Bye']
42,Carlos Berlocq,"['Stanislas Wawrinka', 'Alexandr Dolgopolov', 'Pablo Carreno Busta', 'Richard Gasquet', 'Rafael Nadal', 'Santiago Giraldo', 'Nicolas Almagro', 'Adrian Mannarino', 'Richard Gasquet']","['Thanasi Kokkinakis', 'Diego Sebastian Schwartzman', 'Fabio Fognini', 'Blaz Rola', 'Guido Pella', 'Pablo Carreno Busta', 'Illya Marchenko']"
43,Cem Ilkel,"['Daniel Gimeno Traver', 'Teymuraz Gabashvili']",['Bye']
44,Christian Lindell,"['Thomaz Bellucci', 'Jo Wilfried Tsonga']",['Joao Souza']
45,Christopher Eubanks,['Radek Stepanek'],['Bye']
46,Constant Lestienne,['Pablo Carreno Busta'],['Bye']
47,Damir Dzumhur,"['Fabio Fognini', 'Andrey Rublev', 'Roger Federer', 'James Duckworth', 'Bernard Tomic', 'Guillermo Garcia Lopez', 'Martin Klizan', 'Jurgen Melzer', 'Roger Federer']","['Lukas Rosol', 'Michael Berrer', 'Paul Henri Mathieu', 'Marcel Granollers', 'Andreas Haider Maurer', 'Mikhail Youzhny', 'Marcos Baghdatis']"
48,Daniel Brands,['Vasek Pospisil'],"['Nick Kyrgios', 'Albert Montanes']"
49,Daniel Elahi Galan Riveros,['Ivo Karlovic'],['Pere Riba']
50,Daniel Garza,['Viktor Troicki'],['Bye']
51,Daniel Gimeno Traver,"['Roger Federer', 'Milos Raonic', 'Martin Klizan', 'Ernests Gulbis', 'Fernando Verdasco', 'Dominic Thiem', 'Jiri Vesely', 'David Ferrer', 'Dudi Sela', 'Jurgen Melzer', 'Steve Darcis', 'Diego Sebastian Schwartzman', 'Aljaz Bedene', 'Nick Kyrgios', 'Martin Klizan', 'Lucas Pouille', 'Andreas Haider Maurer', 'David Ferrer']","['Cem Ilkel', 'Mikhail Kukushkin', 'Marton Fucsovics', 'Samuel Groth', 'Viktor Troicki', 'Nikola Mektic', 'Gilles Simon', 'Malek Jaziri', 'Mikhail Kukushkin', 'Lamine Ouahab', 'Jiri Vesely', 'Joao Sousa', 'Joao Souza']"
52,Darian King,['Go Soeda'],['Bye']
53,David Ferrer,"['Bernard Tomic', 'Andy Murray', 'Pablo Andujar', 'Bernard Tomic', 'Novak Djokovic', 'Jeremy Chardy', 'Marcos Baghdatis', 'Kei Nishikori', 'Kei Nishikori', 'Novak Djokovic', 'Rafael Nadal', 'Novak Djokovic', 'Andy Murray', 'Andy Murray', 'Stanislas Wawrinka', 'Rafael Nadal']","['Alexandr Dolgopolov', 'Grigor Dimitrov', 'John Isner', 'Albert Montanes', 'Elias Ymer', 'Philipp Kohlschreiber', 'Radek Stepanek', 'Mikhail Kukushkin', 'Benjamin Becker', 'Feliciano Lopez', 'Ivan Dodig', 'Federico Delbonis', 'Lukas Rosol', 'Gilles Simon', 'Radu Albot', 'Filip Krajinovic', 'Albert Ramos', 'Guillermo Garcia Lopez', 'Fabio Fognini', 'Gael Monfils', 'Steve Johnson', 'Daniel Gimeno Traver', 'Thiemo De Bakker', 'Juan Monaco', 'Andreas Haider Maurer', 'Fabio Fognini', 'Thomaz Bellucci', 'Sergiy Stakhovsky', 'Gilles Simon', 'Igor Sijsling', 'Marinko Matosevic', 'Bernard Tomic', 'Ryan Harrison', 'Kei Nishikori', 'Albert Ramos', 'Fernando Verdasco', 'Richard Gasquet', 'Guillermo Garcia Lopez', 'David Goffin', 'Victor Estrella', 'Gilles Simon', 'Thiemo De Bakker', 'Fernando Verdasco', 'Dustin Brown', 'Ivo Karlovic', 'Tomas Berdych', 'Thomaz Bellucci', 'Lukas Rosol', 'Yen Hsun Lu', 'Lukas Lacko', 'Daniel Gimeno Traver', 'Simone Bolelli', 'Marin Cilic']"
54,David Goffin,"['Novak Djokovic', 'John Isner', 'Andy Murray', 'Stanislas Wawrinka', 'Kei Nishikori', 'Gilles Muller', 'Stanislas Wawrinka', 'Kei Nishikori', 'Simone Bolelli', 'Nicolas Mahut', 'Marcos Baghdatis', 'Roberto Bautista Agut', 'Gilles Simon', 'Dominic Thiem', 'Marcos Baghdatis', 'Benoit Paire', 'Philipp Kohlschreiber', 'Kei Nishikori', 'David Ferrer', 'Jo Wilfried Tsonga', 'Dominic Thiem', 'Fabio Fognini', 'Roger Federer', 'Jeremy Chardy']","['Yen Hsun Lu', 'Fernando Verdasco', 'Go Soeda', 'Dusan Lajovic', 'Horacio Zeballos', 'Liam Broady', 'Marcos Baghdatis', 'Steve Johnson', 'Sam Querrey', 'Ricardas Berankis', 'Andreas Haider Maurer', 'Borna Coric', 'Jerzy Janowicz', 'Jurgen Melzer', 'Illya Marchenko', 'Gilles Muller', 'Simone Bolelli', 'Ricardas Berankis', 'Horacio Zeballos', 'Joao Sousa', 'Thomaz Bellucci', 'Michael Russell', 'Simone Bolelli', 'Ernests Gulbis', 'Andrea Arnaboldi', 'Jo Wilfried Tsonga', 'Norbert Gombos', 'Jerzy Janowicz', 'Andreas Seppi', 'Andreas Seppi', 'Adrian Mannarino', 'Filip Krajinovic', 'Santiago Giraldo']"
55,David Guez,['Jeremy Chardy'],['Bye']
56,David Vega Hernandez,['Pablo Carreno Busta'],['Bye']
57,Denis Istomin,"['Thomaz Bellucci', 'Albert Ramos', 'Guillermo Garcia Lopez', 'Roberto Bautista Agut', 'Austin Krajicek', 'Mikhail Kukushkin', 'Joao Sousa', 'Sergiy Stakhovsky', 'Dominic Thiem', 'Lukas Rosol', 'Nikola Mektic', 'Joao Sousa', 'Andreas Seppi', 'Benoit Paire', 'Jo Wilfried Tsonga', 'Richard Gasquet', 'Tomas Berdych', 'Marin Cilic', 'Borna Coric', 'Thomaz Bellucci', 'Dominic Thiem', 'Ze Zhang', 'Nick Kyrgios']","['Benoit Paire', 'Austin Krajicek', 'Ernests Gulbis', 'Benjamin Becker', 'Maxime Teixeira', 'Nicolas Almagro', 'Juan Monaco', 'Sergiy Stakhovsky', 'Leonardo Mayer', 'Marcos Baghdatis', 'Sam Querrey', 'Diego Sebastian Schwartzman', 'Nicolas Almagro', 'Donald Young', 'Malek Jaziri', 'Dudi Sela', 'Aljaz Bedene', 'Janko Tipsarevic', 'Mikhail Kukushkin', 'Benjamin Becker']"
58,Denis Kudla,"['Fernando Verdasco', 'Vasek Pospisil', 'Marin Cilic', 'Donald Young', 'Nick Kyrgios', 'Donald Young', 'Jarkko Nieminen', 'Jurgen Melzer', 'Feliciano Lopez', 'Blaz Rola', 'John Isner', 'Benoit Paire', 'Adrian Mannarino', 'Jack Sock']","['Pablo Cuevas', 'Alexander Zverev', 'Santiago Giraldo', 'Thanasi Kokkinakis', 'Ryan Harrison', 'Jack Sock', 'Dudi Sela', 'Lukas Lacko']"
59,Dennis Novak,"['Radek Stepanek', 'Fabio Fognini']",['Aljaz Bedene']
60,Dennis Novikov,['Jurgen Melzer'],['Bye']
61,Di Wu,"['Marin Cilic', 'Hyeon Chung', 'Rafael Nadal']",['Bye']
62,Diego Sebastian Schwartzman,"['Roger Federer', 'Nick Kyrgios', 'Roger Federer', 'Dominic Thiem', 'Rafael Nadal', 'Jiri Vesely', 'Federico Delbonis', 'Aljaz Bedene', 'Albert Montanes', 'Kevin Anderson', 'Denis Istomin', 'Carlos Berlocq', 'Borna Coric', 'Pablo Cuevas', 'Thomaz Bellucci', 'Jeremy Chardy', 'Fabio Fognini', 'Arthur De Greef', 'Donald Young', 'Gael Monfils']","['Blaz Kavcic', 'Jurgen Melzer', 'Santiago Giraldo', 'Jerzy Janowicz', 'Elias Ymer', 'Albert Ramos', 'Daniel Gimeno Traver', 'Pablo Andujar', 'Paolo Lorenzi', 'Guillermo Garcia Lopez', 'Andreas Haider Maurer']"
63,Dominic Thiem,"['Martin Klizan', 'Feliciano Lopez', 'Kevin Anderson', 'Victor Estrella', 'Fernando Verdasco', 'Ernests Gulbis', 'Sergiy Stakhovsky', 'James Duckworth', 'Andy Murray', 'Kei Nishikori', 'Roberto Bautista Agut', 'Kevin Anderson', 'Jerzy Janowicz', 'Alexandr Dolgopolov', 'Philipp Kohlschreiber', 'Roberto Bautista Agut', 'Gerald Melzer', 'Stanislas Wawrinka', 'Lucas Pouille', 'Jan Lennard Struff', 'Roberto Bautista Agut', 'Mischa Zverev', 'Joao Sousa', 'John Isner', 'Richard Gasquet', 'Pablo Cuevas']","['Dusan Lajovic', 'Andreas Haider Maurer', 'Gael Monfils', 'Joao Sousa', 'Yen Hsun Lu', 'Adrian Mannarino', 'Dudi Sela', 'Victor Estrella', 'Nick Kyrgios', 'Ernests Gulbis', 'John Isner', 'Leonardo Mayer', 'Ernests Gulbis', 'Diego Sebastian Schwartzman', 'Feliciano Lopez', 'Jack Sock', 'Adrian Mannarino', 'Daniel Gimeno Traver', 'Denis Istomin', 'Federico Delbonis', 'Pablo Carreno Busta', 'Feliciano Lopez', 'David Goffin', 'Malek Jaziri', 'Andreas Haider Maurer', 'Albert Montanes', 'Vasek Pospisil', 'Fabio Fognini', 'Simone Bolelli', 'Gilles Simon', 'Joao Sousa', 'David Goffin', 'Andreas Haider Maurer', 'Denis Istomin', 'Robin Haase', 'Aljaz Bedene']"
